Game ID,White Rating,Black Rating,Opening ECO,Opening Ply,White Centi-pawn Loss,White's Number of Inaccuracies,White's Number of Mistakes,White's Number of Blunders,Black Centi-pawn Loss,Black's Number of Inaccuracies,Black's Number of Mistakes,Black's Number of Blunders,Match Ranking
rJYSXOs6,2362,1982,B01,6,6,0,0,0,22,0,2,0,
N4BYpAmB,2361,1458,B01,4,17,0,1,0,70,2,0,2,
O44Nl0xR,1332,2361,B20,3,41,2,1,1,4,0,0,0,
ZDluP2sO,2360,1640,C00,3,13,1,0,0,122,2,1,1,
P4qoDQUX,1592,2360,D01,5,38,3,0,1,8,0,0,0,
TiorMEXG,1753,2358,A45,4,51,4,2,0,14,1,1,0,
DzXNe3PT,2357,1637,B00,2,7,0,0,0,49,5,1,0,
QVMVX3Wr,2354,1902,C45,7,13,1,0,0,41,3,0,1,
0VNMIIjo,1787,1908,B17,8,55,3,5,3,31,4,1,1,
PoflzAvR,1956,1896,A45,2,56,4,3,2,38,2,1,2,
wOgXLHTL,1941,1892,B10,2,111,8,2,4,86,6,3,4,
aUS7TlEj,1841,1855,A45,2,73,1,1,3,25,1,1,0,
0VRrOdgd,1442,1529,C42,5,81,8,3,4,66,6,2,4,
FmM1XzHZ,1495,1458,C20,3,65,1,1,4,89,3,5,4,
CrWMMkJG,1472,1440,C20,3,155,5,1,6,128,5,4,6,
4iXVR3mh,1557,1427,C45,8,75,7,5,2,98,10,3,3,
IkkYJ3Xc,1484,1651,B30,4,60,1,0,2,8,0,0,0,
4MhseZvU,1469,1599,B30,5,23,2,0,0,64,4,0,1,
KbHAJOLC,1649,1475,B30,5,54,4,0,4,77,7,2,4,
0eKPedG0,1575,1491,A45,2,65,4,1,1,66,4,1,2,
Exxa1IUt,2296,2283,B32,8,24,2,0,0,64,3,0,2,
2coWxqyO,995,1320,A00,1,53,4,3,2,24,4,1,1,
Ilwt48RF,1343,1004,B00,2,35,1,0,0,277,1,0,1,
RiDwreL7,909,1081,C00,3,93,3,3,2,127,9,3,2,
oVZKoWrL,1302,1198,B21,3,233,4,2,6,267,4,4,7,
no5367Wo,1874,1795,D02,3,63,1,0,2,26,1,1,1,
TEsF5Oev,1916,1868,A11,2,51,5,5,4,41,4,4,4,
URcgYDX9,1872,1874,B12,7,65,3,3,4,89,3,4,4,
ueVwENYA,1879,1897,A43,3,146,8,2,3,112,2,2,6,
fkV5veC6,1873,1906,D00,3,51,2,0,2,83,4,1,3,
saNpTFwO,1878,1904,A46,5,67,1,0,2,36,1,0,1,
EhyGHUlS,1878,1885,D02,5,52,8,3,2,53,5,2,4,
S1ZH1MiI,1874,1891,A11,2,50,3,1,2,73,6,1,3,
hDMi2wTb,1887,1897,B12,5,52,9,4,2,67,4,5,4,
D7gd4MT4,1716,1804,D01,5,94,2,1,2,151,1,0,4,
5hLZYYvo,1677,2131,C00,5,64,2,1,3,34,3,1,1,
UQFRlHRb,1308,1584,B30,4,21,2,0,1,8,0,0,0,
TG4kio2x,1504,1500,C46,7,57,2,1,2,20,0,0,1,
7QXFgxG6,1526,1510,C41,4,96,4,1,3,129,3,1,2,
EjdSFutD,1435,1429,C44,5,65,1,2,2,98,5,1,3,
epN0cfXy,2036,1744,A50,3,34,3,1,1,81,4,1,3,
MXV6B40A,2082,1500,E21,7,14,0,0,0,51,7,0,0,
Q3DE71c9,1903,1921,B06,4,41,5,2,0,70,5,0,1,
H29GIf4K,1915,1948,B56,10,28,1,0,0,44,1,0,1,
YTAQESXF,1899,1904,A13,2,33,0,1,0,61,3,1,1,
EODM2Zi9,1701,1622,B00,5,51,5,2,1,18,0,0,0,
wcYi3PN1,1492,1479,B00,6,38,2,3,0,56,6,1,2,
PRrzTB3O,1503,1515,D00,3,57,4,0,2,87,5,2,3,
kXgCpTdC,1630,1564,C41,8,35,6,2,1,60,3,0,5,
C2x7fFRd,1526,1507,B27,4,73,5,2,4,90,4,2,4,
dPcuUSMk,1556,1426,C42,6,56,6,3,2,90,5,3,3,
ep4PsNIm,1627,1626,C50,6,43,1,0,2,62,0,4,2,
77EMatKR,1601,1601,B30,5,37,5,1,2,62,5,3,4,
JeZO6XPc,1747,1512,C20,3,42,3,3,0,12,0,0,0,
oriuOgxj,1501,1652,C22,7,13,1,0,0,63,1,0,2,
DZzYiV7X,1759,1482,B23,4,53,4,1,1,22,1,0,0,
tDP16YbV,1897,1630,C45,7,31,3,1,0,54,7,2,1,
rRpCMt6O,1907,1932,C49,8,50,7,4,2,37,7,2,1,
fg1FPpm3,1851,2024,B00,4,16,4,2,0,37,1,2,2,
3GI8wXWh,1656,1846,C50,8,79,0,2,1,22,0,1,0,
VRiXcoR5,1833,1928,A43,5,30,3,0,2,50,4,0,4,
qmd31Lvs,1951,1818,C45,8,61,4,2,5,46,4,2,4,
7hfT8vSK,1634,1903,C26,5,77,3,2,3,43,2,2,1,
LbslgGrf,1521,1636,C50,6,40,2,0,1,20,1,0,0,
4EnMdulD,1496,1570,A30,2,62,2,1,2,96,2,1,3,
nbJZYYMj,1939,1924,A45,2,53,6,3,1,30,3,0,0,
Ku6StsAy,1838,1903,B11,8,27,3,1,1,27,4,0,1,
w9u7tufn,1749,2358,C34,6,65,2,1,3,39,0,0,2,
L0f7hQB0,2346,2268,D45,9,28,2,4,1,34,11,2,1,
xsGgxu6Y,1734,2345,A48,5,61,7,2,2,31,4,3,0,
amS9Cb7H,2336,2190,A67,15,21,4,0,0,47,5,2,1,
B5pbgPDI,2317,2314,C58,11,68,2,0,2,21,3,0,0,
ZeVpevx2,1242,1279,B10,2,112,3,4,4,76,4,6,2,
Z4mkfFff,2275,2089,B01,6,44,2,0,1,81,3,0,2,
75ND3CJX,2037,2272,B21,5,47,3,0,2,19,0,2,0,
n8YvrooY,2268,2057,C78,9,34,6,2,0,54,7,1,2,
u9JPq1va,2027,2265,B53,7,62,3,0,3,39,3,2,1,
dHDiSk9j,2103,2274,A03,2,43,1,3,1,95,2,0,4,
1e242OWP,2026,2270,A30,2,51,5,1,1,21,1,2,0,
62pc4kGy,2083,2266,A37,10,96,3,1,3,62,3,1,3,
kI6JpWhu,2262,2041,B00,2,44,4,2,4,68,3,3,5,
z3Q6Wk5x,2280,2254,A37,9,76,8,0,8,56,2,4,4,
m0lv70sB,1843,1832,C21,5,68,3,0,2,98,3,1,5,
8Z0rqwp9,1570,1357,D31,6,12,1,0,0,64,0,0,1,
1fcjWHUM,1376,1676,C41,5,78,3,0,2,16,0,0,0,
D5muLppS,1591,1592,A40,1,64,2,4,2,42,5,1,2,
MkPbJert,1606,1442,A40,2,80,1,0,2,19,2,0,0,
RwZDAau9,1605,1480,A45,2,61,3,2,1,15,2,0,0,
cSkgJNAy,1620,1462,D00,3,97,1,0,2,6,0,0,0,
uZIHGDMA,2138,2194,B25,11,80,5,2,4,52,5,2,3,
MEiH73ro,1669,1711,C00,2,85,5,1,4,59,2,3,3,
6ferksop,1654,1708,C64,6,73,2,2,3,49,0,1,2,
YLDihTus,1648,1661,D10,5,31,0,1,1,50,4,3,2,
Aoi52aPI,1797,1895,A40,2,104,2,4,2,59,1,1,3,
i4bAQzS3,1875,1919,B00,2,70,3,3,5,93,4,6,5,
iUONx4Jy,1854,1881,C00,3,79,2,0,6,121,1,0,6,
4LYs86GB,1811,1816,B34,9,58,3,2,3,93,2,1,3,
c6QeLq4N,1866,2198,D93,11,74,0,1,2,30,1,0,0,
IyR3YDmF,1681,1629,B12,7,100,2,4,3,139,1,1,5,
0wyUQ9Jy,2198,1602,C45,8,40,3,3,0,8,0,0,0,
5zJsCJ4z,1514,1580,C49,8,46,2,0,1,6,0,0,0,
2AdsjIJo,1558,1931,B30,4,5,0,0,0,70,1,1,1,
2iXJ8pri,2248,1534,C20,3,40,2,1,2,8,0,0,0,
1K9Jgf58,2109,1511,D30,4,40,1,0,1,9,0,0,0,
pNz8q7Kg,1489,1951,A00,2,10,0,0,0,54,2,2,1,
frs3luGJ,1713,1471,C65,6,46,4,2,0,12,0,0,0,
5JTlL5kk,1482,1392,A00,4,137,9,2,5,110,1,3,5,
Ycj60TRq,1532,1683,C41,8,27,3,1,1,61,4,1,2,
lDid5fIM,1669,1783,A45,2,53,6,5,4,71,9,2,5,
xiNSnfL8,1678,1712,D00,3,67,4,1,2,44,1,1,1,
YiRw4iAj,1747,1683,A80,3,110,11,2,5,137,6,2,8,
m1eKBXRX,2376,2281,A10,2,27,3,0,1,27,3,0,1,
KGsBZJOl,2401,2568,E80,9,49,8,1,4,35,5,1,3,
IhgFGuMH,2325,2353,B25,11,131,4,2,3,103,2,2,5,
zONlgyrv,2161,2319,B50,5,40,4,3,1,23,5,1,0,
FBdPk9Xc,2266,2181,A20,2,23,4,1,3,34,4,2,3,
KwQqQW1I,1704,1744,C58,11,34,1,0,2,66,1,0,2,
HBSiPSpF,1418,1169,C60,6,38,0,0,1,81,3,1,2,
Q1QT0mvl,1638,1962,B00,3,86,3,4,4,58,3,3,2,
GLeH34CL,1355,1555,C60,5,73,5,1,5,57,6,0,4,
Jm6Jscln,1437,1538,C44,5,94,4,0,3,49,1,1,2,
p80JWDJ1,1558,1508,D02,4,82,3,2,7,62,4,0,6,
k1H7EQ99,1542,1509,A40,2,29,1,0,0,143,1,1,2,
1XxfZwjV,1295,1571,D00,3,64,3,0,6,94,8,0,5,
jPtlhDj2,1687,1583,D00,3,47,0,1,0,116,3,0,2,
GH6kfPLW,1604,1522,C02,5,122,0,2,3,67,3,1,2,
lIZ0nEHZ,1603,1622,C50,5,39,2,0,0,127,1,2,2,
9hMzKJ8n,1443,1612,D02,4,70,8,0,2,36,6,1,1,
3Wmgz2I1,1464,1599,C60,6,52,4,2,3,26,4,1,1,
dps9ozFg,1842,1868,D02,3,58,3,3,2,37,4,1,0,
1zPbZnU7,1888,1897,B01,4,59,4,3,1,31,0,2,1,
b51SS0wX,1231,1609,A00,1,70,5,1,2,31,3,0,1,
agM9HQWj,1236,1537,B01,4,57,6,1,2,26,5,0,1,
maODD0ZT,1753,1238,C55,12,106,1,2,5,149,2,1,4,
qxXt0oLS,1242,1772,A01,1,73,3,3,2,29,4,0,0,
QyhuDFyv,1250,1208,A01,1,131,1,0,6,125,2,0,5,
VN7izi0z,1254,1588,A01,3,93,4,4,4,69,5,0,4,
lB9hpx6w,1390,1264,C57,8,101,5,3,2,126,6,1,3,
31Qgdz6u,1645,1577,A40,2,66,3,3,2,34,3,1,0,
5TYzdPzp,1500,1500,C40,4,40,3,1,2,64,8,2,3,
uC3POa1H,1863,1834,B40,4,44,2,0,1,42,0,1,1,
U20qRPIb,1928,1899,B92,11,74,8,2,3,52,8,1,3,
t0ML8UqR,1928,1911,B32,8,98,7,0,4,81,5,1,3,
4bsbACUF,1427,1592,D00,3,51,2,1,2,90,1,1,2,
Nbi2jEE0,1562,1586,D02,4,54,1,1,1,15,0,0,0,
Bf1OUB3e,1579,1547,C42,5,5,0,0,0,44,3,1,1,
TWRcKxOv,1513,1573,C46,7,48,2,0,1,4,0,0,0,
Bf30dKgx,1783,2010,D02,4,77,1,3,3,50,1,1,3,
wYS31Fgb,1827,1814,B12,5,53,7,4,3,33,4,1,2,
wDSQVgcy,1805,1838,A40,2,16,7,0,0,28,9,1,2,
LPqaxS5L,1821,1833,D00,3,103,0,0,3,75,1,2,2,
DSQdC63h,1400,1440,C68,11,126,3,6,5,153,4,3,8,
5HvRlxVv,2016,1922,C46,5,126,2,4,9,109,3,3,8,
aWKDplIB,2242,2021,B33,17,35,2,0,2,68,2,0,3,
g9fYTJzY,2028,2179,B12,5,119,5,3,7,103,4,2,6,
AhPfi4v0,1852,2045,D00,3,47,5,0,1,68,1,2,2,
B9jqLncf,2436,2494,C50,6,44,6,2,2,26,2,1,1,
cJJg2ccM,2486,2441,B51,5,9,0,0,0,39,0,1,1,
s4EHgeMr,2224,2438,B92,11,82,3,1,2,61,3,0,1,
VCi3HbNH,2333,2434,D04,5,49,6,1,2,21,2,2,0,
x1ClLObr,2319,2441,D47,16,23,0,0,1,45,2,0,3,
VJ0mqOVW,2437,2323,B76,14,42,7,2,2,59,5,6,3,
6gRfYhNG,2267,2444,D00,3,14,2,1,0,40,2,1,2,
9KqLMIfu,2333,2440,B95,12,83,1,2,3,58,4,0,2,
1s0JlTUI,2442,2331,B12,7,42,4,1,7,41,2,2,7,
49QmSyC5,2240,2439,B22,3,66,4,0,1,31,1,0,0,
zQTsh2Iv,2027,1677,C41,5,74,5,1,3,53,2,1,3,
RxV5V4cK,1909,1681,D45,9,43,1,0,2,67,2,0,4,
ONk5eJu5,1687,1779,B01,4,124,0,1,2,58,1,0,1,
NTD4F55d,1577,1501,D80,7,93,2,1,2,43,4,2,0,
g1DwG6rm,1547,1595,B20,3,68,5,2,4,91,8,0,6,
zWlrfwQI,1664,1384,B10,3,28,1,1,0,80,2,2,1,
8ORa96UJ,1369,1418,B10,3,67,8,2,2,107,3,3,2,
6Uiif5dk,1849,1884,C01,5,104,6,1,5,141,6,1,6,
