,Game ID,White Rating,Black Rating,Average Rating,Opening ECO,# of Opening Ply,White avg Centi-pawn Loss,White # of Inaccuracies,White # of Mistakes,White # of Blunders,Black avg Centi-pawn Loss,Black # of Inaccuracies,Black # of Mistakes,Black # of Blunders
131,ZmSCR7xx,1433,1385,1409,C37,7,176,4,1,7,144,4,2,7
132,VszDhLD2,1671,1680,1675,C41,8,151,3,2,5,191,3,1,7
133,3YUsvcLh,1645,1611,1628,C41,5,49,3,0,1,87,2,0,1
134,ZHebeSYL,1640,1657,1648,C23,4,96,0,1,2,29,3,0,0
135,9Z0ZZcfX,1441,1468,1454,B00,2,31,5,0,0,65,8,3,0
136,KyrhnpzL,1481,1463,1472,A40,2,45,6,2,0,81,5,5,3
137,GpqETejR,1467,1425,1446,A20,2,62,4,2,2,28,3,1,1
138,laow8aoX,1464,1435,1449,A21,3,16,1,0,0,125,3,1,1
139,i62Y5ccu,1418,1419,1418,A35,4,14,1,0,0,50,3,3,1
140,Yij5rwdX,1392,1467,1429,A40,2,15,1,1,0,51,4,1,1
141,35DXSVcC,1575,1537,1556,C20,3,89,4,3,3,140,2,3,5
142,kD5tt9xi,1959,1560,1759,C25,3,16,2,0,0,50,4,1,1
143,DDmvFnLf,1555,1837,1696,B20,2,96,8,1,6,69,1,1,4
144,ZoLRMRRZ,1062,1648,1355,A00,1,77,2,0,2,57,2,0,2
145,YIPFuoDJ,1651,1405,1528,B10,2,32,1,0,1,74,4,0,3
146,rGb2bf6D,1632,1635,1633,D37,8,62,9,0,2,86,5,3,3
147,HojnqFzv,2234,2128,2181,A00,1,103,0,1,4,49,5,2,1
148,jsXFHusu,2232,2134,2183,A00,5,52,4,0,3,75,4,1,2
149,eVu7WxnD,2185,2145,2165,A00,6,41,5,2,3,56,10,3,3
150,rzX9CklY,1461,1532,1496,B32,6,139,2,1,6,193,4,2,7
151,8k62DCXS,1509,1520,1514,D02,5,46,4,0,2,76,3,2,3
152,m1puNrBq,1514,1512,1513,D06,4,60,1,0,1,15,2,0,0
153,3AJDmtI5,1978,2017,1997,C53,7,99,0,1,2,40,2,0,1
154,LPoytitS,1977,2034,2005,C25,5,7,2,0,0,31,2,2,0
155,P541gt8j,2025,1892,1958,B20,3,46,3,1,1,15,0,0,0
156,Cnky9x8K,1306,1252,1279,A40,2,109,1,2,2,149,9,3,2
157,btJZMcfN,1210,1252,1231,C40,3,60,1,4,2,100,3,2,4
158,AyfJEUjr,1235,1253,1244,A45,2,59,2,1,2,66,2,2,2
159,wn5pM3Es,2121,1893,2007,D35,9,98,2,3,3,91,2,3,4
160,jSQQV6a5,2075,1773,1924,B22,3,29,4,1,2,17,3,1,0
161,bdl5Ggo5,1851,1899,1875,B54,9,13,2,0,0,50,3,2,1
162,y2sey43b,1935,1935,1935,B23,4,42,0,2,2,53,1,0,2
163,kRSQlcKs,2002,1935,1968,D00,3,60,5,4,4,78,4,5,5
164,e5rcD128,1909,1942,1925,D00,2,29,3,1,1,58,2,1,3
165,8pq55q4l,1660,1612,1636,D10,5,87,4,1,3,53,6,1,1
166,gFxQr2nj,1714,1592,1653,E71,9,27,2,1,0,52,2,1,2
167,Va7o7J9Q,1719,1500,1609,E70,7,117,7,4,2,89,9,1,3
