Rank,Title,Username,Rating,Score,Performance,Team
513,,pedrojcoru,1618,14,1571,
514,,SlowbutAccurate14,2591,13,2478,
515,,Agent_Scully,2058,13,2408,
516,,ddd2_0,2116,13,2297,
517,,shaheus,2374,13,2226,
518,,SHerlokmorki,2113,13,2213,
519,,pergylle,2111,13,2184,
520,,saadkilany,2223,13,2160,
521,,aslan11,1511,13,2105,
522,,RAGZB,1889,13,2097,
523,,kingpong,2064,13,2093,
524,,Aleks_Konstantinov,1996,13,2025,
525,,Sjap,1797,13,1983,
526,,Bodur7149,1970,13,1952,
527,,Dneprovskiy,1876,13,1921,
528,,njugunajose,1752,13,1877,
529,,gaspar1968,1914,13,1845,
530,,XylolyT,1447,13,1831,
531,,icegood,2077,13,1826,
532,,nishikabya12,1864,13,1820,
533,,karimprro,2088,13,1817,
534,,kirollos_Abdo,1767,13,1812,
535,,Aleksey1337,1908,13,1794,
536,,josefjoseguiseppejoe,1854,13,1768,
537,,AlisochkaCyberSport,1665,13,1709,
538,,alex-sig55,1971,13,1707,
539,,veeraat,1644,13,1706,
540,,lom11-50,1791,13,1688,
541,,Marcostimoteo32,1660,13,1665,
542,,Ninjakub,1586,13,1633,
543,,FRihhiWHeri,1685,13,1617,
544,,vagnervzp,1390,13,1515,
545,,Mo3athabdullah,1906,13,1504,
546,,sbaccar,1343,13,1354,
547,,alexandr2011us,2168,12,2567,
548,,zeus-is-back,2251,12,2544,
549,,xavier2017,2124,12,2486,
550,,sshh7722,2030,12,2486,
551,,SahibOrucov,2127,12,2456,
552,FM,Mals,2454,12,2445,
553,,mustafaeymen2701,1820,12,2401,
554,,STONE-GOLD,2042,12,2397,
555,,Transcendent_wisdom,2059,12,2389,
556,,Wedlen,2568,12,2353,
557,,Cooldude62,2107,12,2342,
558,,E-A_2010,1797,12,2321,
559,,ninjagouniverse,2100,12,2267,
560,,kvadrik,2523,12,2236,
561,,dolmax,2356,12,2169,
562,,Robertmau,2209,12,2160,
563,,borisuh1,2019,12,2151,
564,,nimzo_larsen26,2149,12,2150,
565,,Ser45on,1957,12,2128,
566,,Paul___Keres,2140,12,2116,
567,,turan63,2115,12,2113,
568,,E-Zarrin,2024,12,2110,
569,,saadddddddddddd,1970,12,2094,
570,,Heresa800,1953,12,2090,
571,NM,zorch81,2250,12,2082,
572,,Gracul,2090,12,2081,
573,,BabyBoyer,2103,12,2059,
574,,Vital-1_23,1805,12,2058,
575,,vit123,2198,12,2056,
576,,ucilnica1,2057,12,2035,
577,,Ole-55,1642,12,2035,
578,,UncleGich,1869,12,2029,
579,,Kirab,2007,12,2005,
580,,iglot,2105,12,2001,
581,,Osman_FB,2070,12,1993,
582,,jarda25,1800,12,1970,
583,,pay_check,2140,12,1961,
584,,Blundermywaytoglory,1786,12,1955,
585,,Grkarican,1824,12,1952,
586,,Misha_pro,1999,12,1938,
587,,marnow,1981,12,1932,
588,,Avi_Xav_2021,1748,12,1924,
589,,himcable,1944,12,1910,
590,,edgar1978puente,1735,12,1907,
591,,prabhat11,2038,12,1906,
592,,coolsunglassesdude,1804,12,1903,
593,,desperado-20,1715,12,1903,
594,,yunustan,1714,12,1891,
595,,ashraf-egypt,1904,12,1869,
596,,Gustavojackowski,1917,12,1852,
597,,Dani_Ramos,1439,12,1846,
598,,gorand,1748,12,1843,
599,,naeem7105,1741,12,1841,
600,,jknow,1949,12,1839,
601,,sb146666,1874,12,1834,
602,,Siddique1,1884,12,1830,
603,,Orebotse,1848,12,1817,
604,,Snezka25,1571,12,1816,
605,,Chempionmira,1818,12,1812,
606,,Venom49,1767,12,1805,
607,,HamadPro35,1903,12,1786,
608,,SMURF71,1935,12,1779,
609,,Aidenko,1324,12,1755,
610,,Sousnik,1790,12,1736,
611,,T5710,1792,12,1725,
612,,Barbossa_7,1865,12,1723,
613,,Tinei,1734,12,1709,
614,,Aleister_CR0WLEY,1715,12,1708,
615,,Daniel_Fernandes8,1658,12,1701,
616,,stob1,1951,12,1697,
617,,Schneewitchen,1826,12,1693,
618,,Xadrez_divertido,1874,12,1683,
619,,Edirnebuyukustalar,1843,12,1680,
620,,almanya1903,1538,12,1675,
621,,AaryanKov,1680,12,1668,
622,,CrushBEE196,1820,12,1662,
623,,gspas,1675,12,1646,
624,,Thekanik,1479,12,1637,
625,,estriwiti,1752,12,1632,
626,,Roje1379,1510,12,1629,
627,,jpindian7,1637,12,1607,
628,,Loz16,1672,12,1603,
629,,vanikspb,1588,12,1517,
630,,darkhorse78,1494,12,1486,
631,,Rogovoy,1556,12,1481,
632,,Ufokosm2,918,12,1374,
633,,Revolverman,2400,11,2507,
634,,Zero_tolerance,2465,11,2396,
635,,Accidental-geniusmm,2381,11,2374,
636,,DORUK009,2248,11,2354,
637,,Cocaino74,2241,11,2330,
638,NM,pjorge33,2008,11,2309,
639,,komlevalexey2008,2050,11,2136,
640,,Gouranshsharma,2200,11,2124,
641,,HusseinSalama,1943,11,2124,
642,,Bor149,1916,11,2122,
643,,Hellowinchesster,2256,11,2105,
644,,nurettinileri190,1787,11,2090,
645,,IJ1234,1961,11,2085,
646,,boyd2015,2143,11,2059,
647,,Graf_Monte_Kristo05,2065,11,2022,
648,,NeThat,2081,11,2011,
649,,Jonath01,2163,11,1951,
650,,tottivanpersie,1954,11,1924,
651,,Trickbetrug,2096,11,1909,
652,,mira2004,1836,11,1907,
653,NM,killer74,2345,11,1855,
654,,Alaimisema_35,1911,11,1850,
655,,ELLEEEE,2070,11,1844,
656,,jamesraychess66,2003,11,1832,
657,,Kgao_Speedchess,2190,11,1829,
658,,camallobello,1692,11,1816,
659,,isi99,1901,11,1795,
660,,Gamer1996,1982,11,1788,
661,,TheNodrax,1859,11,1785,
662,,Lopeorsanchez,1685,11,1775,
663,,Mertyavuz4a,1747,11,1766,
664,,Bethharmon25,1703,11,1758,
665,,BookemDanno,1555,11,1748,
666,,Henriksan,1927,11,1747,
667,,JackyDnepr,1905,11,1737,
668,,jayantabhakta1974,1684,11,1733,
669,,Causas,1725,11,1727,
670,,Lokitox,1748,11,1679,
671,,alexr514,1758,11,1679,
672,,dobriy_vecher,1488,11,1650,
673,,sulaimanrizky,2214,11,1628,
674,,Calipso1962,1733,11,1575,
675,,unclJ,1729,11,1572,
676,,HETMAN_NA_PIONKA,1523,11,1528,
677,,wojt4zz,1245,11,1523,
678,,REtalcapeTeo,1600,11,1481,
679,,jan6363,2167,10,2458,
680,,MrKingLouis,1910,10,2236,
681,,Jsauce,2139,10,2202,
682,,Lobao42,2194,10,2184,
683,,Uvarow1994,2066,10,2103,
684,,q1950i,2064,10,2096,
685,,luckyal_t,1657,10,2055,
686,NM,janisdaudz,2045,10,2039,
687,,scrollgr,2170,10,2037,
688,,M1ckeyM0use,1981,10,2036,
689,,michaelkozak,2080,10,2028,
690,,Nastyking012,2118,10,2023,
691,,melisamohammadzade,1832,10,2022,
692,,Brian40,1872,10,2018,
693,,eagle2014,1644,10,2015,
694,,Dulatstom171,2016,10,2015,
695,,Sergiy23,1790,10,1992,
696,,Joer62,1911,10,1951,
697,,MrValder,1811,10,1947,
698,,Nikolai_Govorun,1870,10,1937,
699,,alekhinealexandar,1844,10,1934,
700,,Kipkut,1904,10,1933,
701,,Terrazas1961,1744,10,1901,
702,,Yasertahery,1688,10,1898,
703,,Cyborg009,1781,10,1897,
704,,jeteyeknight,1772,10,1891,
705,,blackhourse8,1852,10,1890,
706,,AlixM,2094,10,1877,
707,,Vladivir_60_100,1987,10,1875,
708,,Kavonoz,1633,10,1871,
709,,trailblazers_2008,1718,10,1860,
710,,kkwang2005,1888,10,1855,
711,,seirawrook,1720,10,1847,
712,,Universal85,2299,10,1836,
713,,REDX666,1542,10,1823,
714,,CosyCat,1851,10,1821,
715,,vladpov1,1606,10,1777,
716,,Tumuti,1661,10,1774,
717,,sraven,1587,10,1751,
718,,Th3mart1an,1593,10,1742,
719,,ryba170a,1836,10,1735,
720,,pietrobrescia,1416,10,1728,
721,,Ospitg,1512,10,1716,
722,,KarasevDV,2050,10,1709,
723,,gifted0,1557,10,1704,
724,,KazaCharith,1626,10,1696,
725,,snufkin44,1845,10,1693,
726,,ronisubagyo,1751,10,1671,
727,,VitoPeruzzi,1793,10,1652,
728,,Enriquerocio,1336,10,1642,
729,,kerespaul,1807,10,1619,
730,,Xitskoff,1659,10,1613,
